store_id,store_name,location,demographics
0,noticed_store,debug_retailer_City,pharmacy_brian_street_6
1,joan_store,invitation_anne_City,junior_drug_street_9
2,soap_store,nurses_contained_City,ecological_allowing_street_2
3,females_store,visit_nb_City,cod_republican_street_4
4,recording_store,flour_dont_City,buck_lie_street_6
5,mainstream_store,lord_brave_City,oz_jets_street_6
6,underground_store,kenny_calcium_City,boards_lived_street_5
7,minimal_store,quizzes_record_City,direct_auburn_street_5
8,causes_store,shared_preventing_City,cooperative_utils_street_5
9,relate_store,previously_france_City,reaches_shadows_street_18
10,marion_store,aim_using_City,responding_fastest_street_14
11,weed_store,walter_there_City,horn_overseas_street_13
12,comfortable_store,proudly_indie_City,albert_dropped_street_18
13,twiki_store,hook_letting_City,cleveland_vehicles_street_9
14,pac_store,throw_vhs_City,best_visitor_street_16
15,las_store,reflection_cruises_City,leaf_then_street_1
16,ware_store,das_comfort_City,peak_nearest_street_1
17,disability_store,accommodate_age_City,biggest_james_street_8
18,offset_store,roommate_primary_City,house_phone_street_11
19,abortion_store,you_cent_City,nomination_jpeg_street_10
20,coral_store,chancellor_tuner_City,billy_venture_street_16
21,posts_store,verbal_feelings_City,chassis_hungary_street_5
22,suspended_store,classic_diesel_City,components_trunk_street_18
23,status_store,fight_sunday_City,wonderful_abroad_street_8
24,remarkable_store,folder_garage_City,nottingham_startup_street_1
25,accepted_store,asthma_thus_City,refurbished_excitement_street_11
26,hour_store,core_bunny_City,toolbar_rf_street_17
27,expenditures_store,raise_tan_City,invitation_seat_street_4
28,backup_store,upgrading_estimate_City,frequent_comic_street_1
29,about_store,boss_violation_City,nested_peaceful_street_13
30,motorcycle_store,standing_bufing_City,sublime_bird_street_14
31,desperate_store,blast_cdna_City,b_pst_street_15
32,una_store,paintings_timer_City,que_samoa_street_10
33,tripadvisor_store,raw_administrative_City,proposals_respect_street_7
34,submit_store,betty_trash_City,ultimate_iv_street_7
35,armstrong_store,flag_reform_City,characteristic_exists_street_17
36,calculators_store,grew_rebates_City,ee_choose_street_7
37,vc_store,gilbert_collective_City,provides_bang_street_20
38,households_store,pdas_costume_City,refuse_rice_street_2
39,metro_store,lauren_offline_City,meanwhile_anybody_street_13
40,finals_store,baskets_satin_City,televisions_cheese_street_4
41,filtering_store,artwork_darwin_City,incorrect_profession_street_8
42,lopez_store,passes_districts_City,notify_reflections_street_10
43,henderson_store,rarely_unsigned_City,pf_outside_street_6
44,fear_store,developer_broader_City,powder_duo_street_18
45,clusters_store,freely_colors_City,waiver_cameroon_street_16
46,beef_store,who_charging_City,investigators_leader_street_13
47,hugo_store,chef_significantly_City,connecting_xhtml_street_6
48,kit_store,lakes_logo_City,verify_move_street_14
49,score_store,journalist_endangered_City,purchases_randy_street_20
50,java_store,inform_reflects_City,adds_chubby_street_20
51,owns_store,pale_precipitation_City,segment_regarded_street_16
52,tr_store,tough_parcel_City,denver_pb_street_8
53,multimedia_store,indirect_anyway_City,pg_yeast_street_13
54,sisters_store,disturbed_illustration_City,cp_care_street_15
55,advertiser_store,,enhancements_vibrators_street_10
56,saskatchewan_store,ebooks_larry_City,behavioral_cluster_street_16
57,mariah_store,alt_handy_City,normally_monitored_street_20
58,assign_store,shot_pp_City,leaders_north_street_7
59,concept_store,toxic_premises_City,considered_cinema_street_20
60,selection_store,ultram_nn_City,iran_unemployment_street_1
61,found_store,emphasis_signatures_City,sending_gardening_street_15
62,discharge_store,respective_cest_City,kenya_integral_street_17
63,combinations_store,would_donor_City,beer_verizon_street_10
64,projectors_store,recipients_emission_City,technological_fg_street_18
65,hitachi_store,commerce_duncan_City,scenario_turns_street_20
66,kitty_store,grip_alaska_City,hell_altered_street_9
67,tr_store,rid_islands_City,closest_hr_street_8
68,wildlife_store,relations_sponsor_City,gun_grand_street_6
69,she_store,briefly_twin_City,indian_voip_street_14
70,sean_store,awful_combo_City,obj_ok_street_10
71,confused_store,rip_morgan_City,examples_samsung_street_13
72,activities_store,select_this_City,misc_dev_street_1
73,slowly_store,ec_finish_City,weapons_co_street_10
74,relaxation_store,middle_latino_City,compatible_consideration_street_1
75,michel_store,smile_brunette_City,alfred_native_street_15
76,multiple_store,nationwide_corrections_City,cio_israel_street_1
77,humor_store,north_advertisement_City,childrens_boats_street_10
78,instead_store,issn_tall_City,ic_helen_street_17
79,carrying_store,consist_considerations_City,clean_blade_street_17
80,puzzles_store,ut_butter_City,jewish_canberra_street_11
81,par_store,porcelain_lock_City,assure_ruby_street_15
82,rover_store,store_amazoncouk_City,comment_frozen_street_12
83,prerequisite_store,moderator_book_City,zdlpxbj
84,roger_store,plot_hugh_City,saturday_mai_street_18
85,toronto_store,shoppers_cz_City,incorporate_ingredients_street_9
86,jay_store,champagne_museum_City,cloud_oct_street_17
87,sucks_store,spreading_feel_City,citizens_female_street_19
88,molecular_store,northeast_apr_City,mixture_fla_street_14
89,porter_store,conclusion_article_City,rd_intervals_street_6
90,mine_store,ebook_celtic_City,xhtml_advertising_street_9
91,diesel_store,actually_deal_City,certificate_russia_street_2
92,advancement_store,nail_dx_City,external_newport_street_11
93,oriented_store,bernard_tuition_City,bolt_venice_street_6
94,adrian_store,epinions_travels_City,watson_political_street_18
95,rocket_store,invoice_audi_City,usgs_physics_street_12
96,tracking_store,hammer_howto_City,inspections_ports_street_1
97,archive_store,key_exercise_City,rachel_term_street_5
98,application_store,violence_subscribe_City,royal_prove_street_2
99,tags_store,has_governments_City,political_thoroughly_street_14
100,conservative_store,phantom_stuck_City,nicole_brief_street_4
101,latino_store,santa_sleeps_City,telescope_mills_street_20
102,volunteers_store,hampshire_dr_City,revelation_nasa_street_14
103,surround_store,architects_atm_City,compiler_insulin_street_18
104,college_store,judy_punk_City,unlimited_specifically_street_3
105,judge_store,appointed_resulting_City,tiles_statistical_street_4
106,bs_store,chris_sheffield_City,zope_hist_street_7
107,poem_store,meditation_joy_City,indicates_reaction_street_12
108,procurement_store,beginners_queensland_City,likelihood_automatic_street_14
109,quarters_store,despite_bangkok_City,did_keyboards_street_15
110,addressed_store,,walks_teen_street_10
111,webcam_store,tmp_thumbs_City,property_disabled_street_6
112,responses_store,gtk_approach_City,jean_world_street_8
113,diabetes_store,description_episode_City,assignment_charts_street_20
114,dresses_store,forbes_pages_City,postage_accommodate_street_17
115,designer_store,shop_electronic_City,thing_tiles_street_8
116,hot_store,brian_attempting_City,refine_adipex_street_5
117,libs_store,au_harmony_City,site_palestinian_street_12
118,mm_store,naval_tried_City,structure_actions_street_8
119,rape_store,performance_leadership_City,pakistan_costs_street_2
120,job_store,idle_opposed_City,banners_psi_street_14
121,carriers_store,utils_desktop_City,significant_there_street_15
